scheduler,dag_type,cluster,n_tasks,n_edges,ccr,edge_density,seed,makespan,speedup,efficiency,imbalance,slr,runtime_ms,seq_time,cp_length
CPOP,random,homogeneous,30,261,0.5,0.6,7,162.1635551998766,1.8072067371016016,0.4518016842754004,0.7825728146700991,0.6733235238338001,3.7083670000015445,293.0630694695645,240.84047186788067
HEFT-LC,random,homogeneous,30,261,0.5,0.6,7,168.52418512544025,1.7389971015223973,0.4347492753805993,0.04583723358744246,0.6997336611177568,1.8191460000025472,293.0630694695645,240.84047186788067
Random,random,homogeneous,30,261,0.5,0.6,7,223.85767026750514,1.309149108535617,0.32728727713390426,0.24766336074091622,0.9294852668712097,0.37163799999007097,293.0630694695645,240.84047186788067
HEFT,random,cpu_gpu,30,261,0.5,0.6,7,68.39224845087587,4.285033408136348,1.071258352034087,1.051396839178793,0.2839732372239921,1.7155429999888838,293.0630694695645,240.84047186788067
CPOP,random,cpu_gpu,30,261,0.5,0.6,7,76.79146471414491,3.816349519578607,0.9540873798946518,0.9004867235604298,0.31884784197014393,3.7529749999976048,293.0630694695645,240.84047186788067
HEFT-LC,random,cpu_gpu,30,261,0.5,0.6,7,69.18230325552646,4.236098766286071,1.0590246915715178,1.0009742836628814,0.28725364436870154,1.7629629999760255,293.0630694695645,240.84047186788067
Random,random,cpu_gpu,30,261,0.5,0.6,7,184.06041582576,1.5922112756008948,0.3980528189002237,0.5963099768133956,0.7642420495120569,0.3371919999608508,293.0630694695645,240.84047186788067
HEFT,random,edge_cloud,30,261,0.5,0.6,7,83.6736168540114,3.5024549014163324,0.8756137253540831,1.0145707103429333,0.34742340523196097,1.8127519999779906,293.0630694695645,240.84047186788067
CPOP,random,edge_cloud,30,261,0.5,0.6,7,99.05539197724539,2.958577656599307,0.7396444141498267,1.095889149851932,0.41129047459923934,3.679857000008724,293.0630694695645,240.84047186788067
HEFT-LC,random,edge_cloud,30,261,0.5,0.6,7,90.66120491656623,3.232507992136932,0.808126998034233,1.0002347004893712,0.3764367517362315,1.782252999987577,293.0630694695645,240.84047186788067
Random,random,edge_cloud,30,261,0.5,0.6,7,969.1942206603142,0.3023780613032339,0.07559451532580848,0.8048776186944474,4.024216582634795,0.34416399995507163,293.0630694695645,240.84047186788067
HEFT,random,highly_hetero,30,261,0.5,0.6,7,88.9121694201283,3.296096264222068,0.824024066055517,1.0631072576970442,0.3691745358683045,1.6846299999997427,293.0630694695645,240.84047186788067
CPOP,random,highly_hetero,30,261,0.5,0.6,7,88.39397317009447,3.315419128243393,0.8288547820608483,0.9498177198667034,0.3670229197133665,3.701624999962405,293.0630694695645,240.84047186788067
HEFT-LC,random,highly_hetero,30,261,0.5,0.6,7,114.58184766112169,2.557674496018819,0.6394186240047047,0.5825904658888609,0.4757582758930092,1.8200850000198443,293.0630694695645,240.84047186788067
Random,random,highly_hetero,30,261,0.5,0.6,7,333.63518479122536,0.8783937750838564,0.2195984437709641,0.9721707180332272,1.3852953459344228,0.35910600001898274,293.0630694695645,240.84047186788067
HEFT,random,homogeneous,30,243,0.5,0.6,8,166.53317482953713,1.7432249099173789,0.4358062274793447,0.4552461184827299,0.6224277676244088,1.766855999960626,290.30477869047496,267.5542183234154
CPOP,random,homogeneous,30,243,0.5,0.6,8,203.08587150266482,1.4294681187936094,0.35736702969840234,1.06223870490276,0.7590456722202666,3.4679830000072798,290.30477869047496,267.5542183234154
HEFT-LC,random,homogeneous,30,243,0.5,0.6,8,201.40514162260544,1.441397058444766,0.3603492646111915,0.060863485464384325,0.7527638430994574,1.7779370000425843,290.30477869047496,267.5542183234154
Random,random,homogeneous,30,243,0.5,0.6,8,253.79288278540952,1.1438649323193886,0.28596623307984714,0.14837051722504985,0.9485661798784597,0.35126500000615124,290.30477869047496,267.5542183234154
HEFT,random,cpu_gpu,30,243,0.5,0.6,8,66.12106998957246,4.39050334086029,1.0976258352150725,1.002203977602808,0.24713148013105268,1.6132659999925636,290.30477869047496,267.5542183234154
CPOP,random,cpu_gpu,30,243,0.5,0.6,8,76.51956169881656,3.7938635852767146,0.9484658963191787,1.2195550199558625,0.28599646897108866,3.5128089999716394,290.30477869047496,267.5542183234154
HEFT-LC,random,cpu_gpu,30,243,0.5,0.6,8,63.56551233197214,4.5670170512329475,1.1417542628082369,1.0000327351508107,0.2375799295196876,1.6615320000141764,290.30477869047496,267.5542183234154
Random,random,cpu_gpu,30,243,0.5,0.6,8,191.79149715845278,1.5136478049943645,0.3784119512485911,0.47011976674429706,0.7168322680923617,0.31642100003637097,290.30477869047496,267.5542183234154
HEFT,random,edge_cloud,30,243,0.5,0.6,8,83.18064885718954,3.490051865174686,0.8725129662936715,1.0006756955267464,0.3108926832790282,1.6711869999994633,290.30477869047496,267.5542183234154
CPOP,random,edge_cloud,30,243,0.5,0.6,8,103.97129652514013,2.7921627256064814,0.6980406814016203,1.0957690229909638,0.3885989807100004,3.3967100000040773,290.30477869047496,267.5542183234154
HEFT-LC,random,edge_cloud,30,243,0.5,0.6,8,89.54123641222753,3.242135024291798,0.8105337560729495,1.000153227662517,0.3346657622268974,1.8004380000320452,290.30477869047496,267.5542183234154
Random,random,edge_cloud,30,243,0.5,0.6,8,1048.7926629895724,0.2767990175131129,0.06919975437827823,0.7223875046951181,3.9199257240706555,0.3233580000028269,290.30477869047496,267.5542183234154
HEFT,random,highly_hetero,30,243,0.5,0.6,8,92.31549485172489,3.1447026217728244,0.7861756554432061,1.3109995981431015,0.3450347201782308,1.7166850000194245,290.30477869047496,267.5542183234154
CPOP,random,highly_hetero,30,243,0.5,0.6,8,88.41191781677097,3.283548031297277,0.8208870078243192,1.255236478438665,0.3304448659818923,3.369178000014017,290.30477869047496,267.5542183234154
HEFT-LC,random,highly_hetero,30,243,0.5,0.6,8,102.94509363311168,2.819996256694842,0.7049990641737105,0.6901133489742063,0.3847634856149913,1.6745969999760746,290.30477869047496,267.5542183234154
